Relationship.StartNode.NodeID,Relationship.StartNode.NodeIDType,Relationship.EndNode.NodeID,Relationship.EndNode.NodeIDType,Relationship.RelationshipType,Relationship.RelationshipStatus,Relationship.Period.1.startDate,Relationship.Period.1.endDate,Relationship.Period.1.periodType,Relationship.Period.2.startDate,Relationship.Period.2.endDate,Relationship.Period.2.periodType,Relationship.Period.3.startDate,Relationship.Period.3.endDate,Relationship.Period.3.periodType,Relationship.Period.4.startDate,Relationship.Period.4.endDate,Relationship.Period.4.periodType,Relationship.Period.5.startDate,Relationship.Period.5.endDate,Relationship.Period.5.periodType,Relationship.Qualifiers.1.QualifierDimension,Relationship.Qualifiers.1.QualifierCategory,Relationship.Qualifiers.2.QualifierDimension,Relationship.Qualifiers.2.QualifierCategory,Relationship.Qualifiers.3.QualifierDimension,Relationship.Qualifiers.3.QualifierCategory,Relationship.Qualifiers.4.QualifierDimension,Relationship.Qualifiers.4.QualifierCategory,Relationship.Qualifiers.5.QualifierDimension,Relationship.Qualifiers.5.QualifierCategory,Relationship.Quantifiers.1.MeasurementMethod,Relationship.Quantifiers.1.QuantifierAmount,Relationship.Quantifiers.1.QuantifierUnits,Relationship.Quantifiers.2.MeasurementMethod,Relationship.Quantifiers.2.QuantifierAmount,Relationship.Quantifiers.2.QuantifierUnits,Relationship.Quantifiers.3.MeasurementMethod,Relationship.Quantifiers.3.QuantifierAmount,Relationship.Quantifiers.3.QuantifierUnits,Relationship.Quantifiers.4.MeasurementMethod,Relationship.Quantifiers.4.QuantifierAmount,Relationship.Quantifiers.4.QuantifierUnits,Relationship.Quantifiers.5.MeasurementMethod,Relationship.Quantifiers.5.QuantifierAmount,Relationship.Quantifiers.5.QuantifierUnits,Registration.InitialRegistrationDate,Registration.LastUpdateDate,Registration.RegistrationStatus,Registration.NextRenewalDate,Registration.ManagingLOU,Registration.ValidationSources,Registration.ValidationDocuments,Registration.ValidationReference
073LKXEKEP6T62NK2G42,LEI,CYSD4L2598RQ9BPPCB72,LEI,IS_DIRECTLY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,,,,,,,ACCOUNTING_STANDARD,US_GAAP,,,,,,,,,,,,,,,,,,,,,,,,2012-11-28T00:00:00+00:00,2025-05-01T20:14:46+00:00,PUBLISHED,2026-05-27T14:05:43+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,OTHER_OFFICIAL_DOCUMENTS,https://www.ffiec.gov/npw/Institution/Profile/1951350?dt=20170701
097900BFBJ0000007250,LEI,74780000N2G76Q8R9680,LEI,IS_DIRECTLY_CONSOLIDATED_BY,ACTIVE,2024-01-01T00:00:00Z,2024-12-31T00:00:00Z,ACCOUNTING_PERIOD,2003-12-18T00:00:00Z,,RELATIONSHIP_PERIOD,2025-03-31T00:00:00Z,,DOCUMENT_FILING_PERIOD,,,,,,,ACCOUNTING_STANDARD,IFRS,,,,,,,,,ACCOUNTING_CONSOLIDATION,1.00,PERCENTAGE,,,,,,,,,,,,,2024-03-26T11:28:42Z,2025-11-04T08:11:39Z,PUBLISHED,2026-12-04T23:59:00Z,7478000050A040C0D041,FULLY_CORROBORATED,ACCOUNTS_FILING,https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080049925
097900BFBJ0000007250,LEI,74780000N2G76Q8R9680,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2024-01-01T00:00:00Z,2024-12-31T00:00:00Z,ACCOUNTING_PERIOD,2003-12-18T00:00:00Z,,RELATIONSHIP_PERIOD,2025-03-31T00:00:00Z,,DOCUMENT_FILING_PERIOD,,,,,,,ACCOUNTING_STANDARD,IFRS,,,,,,,,,ACCOUNTING_CONSOLIDATION,1.00,PERCENTAGE,,,,,,,,,,,,,2024-03-26T11:28:42Z,2025-11-04T08:11:39Z,PUBLISHED,2026-12-04T23:59:00Z,7478000050A040C0D041,FULLY_CORROBORATED,ACCOUNTS_FILING,https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080049925
097900BIBM0000116457,LEI,315700FA4G1UK2XEQF20,LEI,IS_DIRECTLY_CONSOLIDATED_BY,ACTIVE,2024-01-01T08:00:00+01:00,2024-12-31T08:00:00+01:00,ACCOUNTING_PERIOD,2023-11-23T08:00:00+01:00,,RELATIONSHIP_PERIOD,2020-08-24T02:00:00+02:00,,DOCUMENT_FILING_PERIOD,,,,,,,ACCOUNTING_STANDARD,IFRS,,,,,,,,,,,,,,,,,,,,,,,,2019-12-17T00:00:00+01:00,2026-01-20T13:47:36.368+01:00,PUBLISHED,2027-02-07T08:33:35.229+01:00,097900BEFH0000000217,FULLY_CORROBORATED,ACCOUNTS_FILING,
097900BIBM0000116457,LEI,315700FA4G1UK2XEQF20,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2024-01-01T08:00:00+01:00,2024-12-31T08:00:00+01:00,ACCOUNTING_PERIOD,2023-11-23T08:00:00+01:00,,RELATIONSHIP_PERIOD,2020-08-24T02:00:00+02:00,,DOCUMENT_FILING_PERIOD,,,,,,,ACCOUNTING_STANDARD,IFRS,,,,,,,,,,,,,,,,,,,,,,,,2018-01-12T00:00:00+01:00,2026-01-20T13:47:36.368+01:00,PUBLISHED,2027-02-07T08:33:35.229+01:00,097900BEFH0000000217,FULLY_CORROBORATED,ACCOUNTS_FILING,
097900BIBM0000116748,LEI,315700FA4G1UK2XEQF20,LEI,IS_DIRECTLY_CONSOLIDATED_BY,ACTIVE,2024-01-01T08:00:00+01:00,2024-12-31T08:00:00+01:00,ACCOUNTING_PERIOD,2023-11-24T08:00:00+01:00,,RELATIONSHIP_PERIOD,2005-11-04T01:00:00+01:00,,DOCUMENT_FILING_PERIOD,,,,,,,ACCOUNTING_STANDARD,IFRS,,,,,,,,,,,,,,,,,,,,,,,,2018-01-12T00:00:00+01:00,2026-01-15T08:32:57.740+01:00,PUBLISHED,2027-02-07T08:33:34.344+01:00,097900BEFH0000000217,FULLY_CORROBORATED,ACCOUNTS_FILING,
097900BIBM0000116748,LEI,315700FA4G1UK2XEQF20,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2024-01-01T08:00:00+01:00,2024-12-31T08:00:00+01:00,ACCOUNTING_PERIOD,2023-11-24T08:00:00+01:00,,RELATIONSHIP_PERIOD,2020-08-24T02:00:00+02:00,,DOCUMENT_FILING_PERIOD,,,,,,,ACCOUNTING_STANDARD,IFRS,,,,,,,,,,,,,,,,,,,,,,,,2018-01-12T00:00:00+01:00,2026-01-15T08:32:57.740+01:00,PUBLISHED,2027-02-07T08:33:34.344+01:00,097900BEFH0000000217,FULLY_CORROBORATED,ACCOUNTS_FILING,
097900BIBR0000116697,LEI,315700FA4G1UK2XEQF20,LEI,IS_DIRECTLY_CONSOLIDATED_BY,ACTIVE,2024-01-01T08:00:00+01:00,2024-12-31T08:00:00+01:00,ACCOUNTING_PERIOD,2023-11-24T08:00:00+01:00,,RELATIONSHIP_PERIOD,2008-11-28T08:00:00+01:00,,DOCUMENT_FILING_PERIOD,,,,,,,ACCOUNTING_STANDARD,IFRS,,,,,,,,,,,,,,,,,,,,,,,,2018-01-17T00:00:00+01:00,2026-01-14T08:33:12.887+01:00,PUBLISHED,2027-02-07T08:33:35.939+01:00,097900BEFH0000000217,FULLY_CORROBORATED,ACCOUNTS_FILING,
097900BIBR0000116697,LEI,315700FA4G1UK2XEQF20,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2024-01-01T08:00:00+01:00,2024-12-31T08:00:00+01:00,ACCOUNTING_PERIOD,2023-11-24T08:00:00+01:00,,RELATIONSHIP_PERIOD,2020-08-24T02:00:00+02:00,,DOCUMENT_FILING_PERIOD,,,,,,,ACCOUNTING_STANDARD,IFRS,,,,,,,,,,,,,,,,,,,,,,,,2018-01-17T00:00:00+01:00,2026-01-14T08:33:12.887+01:00,PUBLISHED,2027-02-07T08:33:35.939+01:00,097900BEFH0000000217,FULLY_CORROBORATED,ACCOUNTS_FILING,
0RL818ELFOHP5JHOFU19,LEI,549300FC3G3YU2FBZD92,LEI,IS_DIRECTLY_CONSOLIDATED_BY,ACTIVE,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2019-02-08T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,,,,,,,,,,,,ACCOUNTING_CONSOLIDATION,100.00,,,,,,,,,,,,,,2012-06-06T15:51:00.000Z,2025-10-09T20:40:52.300Z,PUBLISHED,2026-10-16T23:25:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,OTHER_OFFICIAL_DOCUMENTS,
