ts	phase	decision	why	evidence	result
2026-09-23T09:06:11Z	frame	sized the removal before starting: 247 generated files, 5 facet pages, 3 templates, 75 model opt-ins, about 40 hand-written screen files	wanted the size known before committing to a long run	git ls-files counts; PR #2131 merged as ff7937cd22	scope confirmed
2026-09-23T09:06:11Z	harness	captured the per-entity TypeScript unit list as the before and after lever	the drift gate cannot see this removal, so the check had to be something that can	.runtime/retire-ui-codegen/baseline_units.txt	5 units before, 2 expected after
2026-09-23T09:06:11Z	harness	ran check_component_drift.py --all --dry-run, never the in-place mode	the destructive mode clobbered 67 tracked and 44 untracked files on a stale branch once	doc/agile/product_backlog/inbox/drift_check_destructive_on_stale_template_branch.org	clean baseline
2026-09-23T09:06:11Z	cut	deleted the five facet node pages and their three tangled templates together	template-drift fails when an org page and its mustache artefact are deleted apart	commit 3a40c9c57e	lever dropped from 5 units to 2
2026-09-23T09:06:11Z	cut	regenerated the physical-space facet tables with the inventory script instead of editing them	the tables say they are generated and carry a do-not-edit-by-hand note	scripts/regenerate_physical_space_inventories.py	ores.ts.org and ores.org tables rewrote to 2 facets
2026-09-23T09:06:11Z	cut	deleted the _UI_META_FACETS and _OPERATION_OWNED_PROTOCOL_ARCHETYPES gates rather than leaving them	the facets no longer exist, so both frozensets had become unreachable text	commit 3a40c9c57e, projects/ores.codegen/src/codegen/generate.py	drift check clean
2026-09-23T09:06:11Z	cut	deleted the core.py UI block but kept _protocol_owned_by_operation	that one function is protocol-side and two call sites read it for the C++ service and handler	projects/ores.codegen/src/codegen/core.py	536 codegen tests pass
2026-09-23T09:06:11Z	cut	deleted the three UI projection test modules and edited the two mixed ones	the modules tested functions that no longer exist; the mixed ones still cover protocol ownership	commit 3a40c9c57e	536 codegen tests pass
2026-09-23T09:06:11Z	cut	retargeted the opt-in test at ores.cpp.nats-event-cache instead of deleting it	the default-disabled facet mechanism still has five other users, so the coverage stays	projects/ores.codegen/tests/test_physical_space.py	passes
2026-09-23T09:06:11Z	output	deleted the 247 generated files only after the facet pages	the drift gate selects a facet by whether its output directory holds a file, so the other order goes quiet instead of failing	commit 877fb1e1ac	247 tracked files to 0
